Fort Worth/Dallas, TX (DFW)
Franklin, PA (FKL)
Fresno, CA (FAT)
Gainesville, FL (GNV)
Gallup, NM (GUP)
Garden City, KS (GCK)
Gary, IN (GYY)
Gillette, WY (GCC)
Gladewater/Kilgore, TX (GGG)
Glasgow, MT (GGW)
Glendive, MT (GDV)
Golovin, AK (GLV)
Goodnews Bay, AK (GNU)
Grand Canyon, AZ - Heliport (JGC)
Grand Canyon, AZ - National Park (GCN)
Grand Forks, ND (GFK)
Grand Island, NE (GRI)
Grand Junction, CO (GJT)
Grand Rapids, MI (GRR)
Grand Rapids, MN (GPZ)
Grayling, AK (KGX)
Great Falls, MT (GTF)
Green Bay, WI (GRB)
Greensboro, NC (GSO)
Greenville, MS (GLH)
Greenville, NC (PGV)
Greenville/Spartanburg, SC (GSP)
Groton/New London, CT (GON)
Gulfport, MS (GPT)
Gunnison, CO (GUC)
Gustavus, AK (GST)
Hagerstown, MD (HGR)
Hailey, ID (SUN)
Haines, AK (HNS)
Hampton, VA (PHF)
Hana, HI - Island of Maui (HNM)
Hanapepe, HI (PAK)
Hancock, MI (CMX)
Hanover, NH (LEB)
Harlingen, TX (HRL)
Harrisburg, PA (MDT)
Harrison, AR (HRO)
Hartford, CT (BDL)
Havasupai, AZ (HAE)
Havre, MT (HVR)
Hayden, CO (HDN)
Hays, KS (HYS)
Healy Lake, AK (HKB)
Helena, MT (HLN)
Hendersonville, NC (AVL)
Hibbing/Chisholm, MN (HIB)
Hickory, NC (HKY)
High Point, NC (GSO)
Hilo, HI - Island of Hawaii (ITO)
Hilton Head, SC (HHH)
Hobbs, NM (HBB)
Hollis, AK (HYL)
Holy Cross, AK (HCR)
Homer, AK (HOM)
Honolulu, HI - Island of Oahu (HNL)
Hoolehua, HI - Island of Molokai (MKK)
Hoonah, AK (HNH)
Hooper Bay, AK (HPB)
Hot Springs, AR (HOT)
Houston, TX - All airports (HOU)
Houston, TX - Hobby (HOU)
Houston, TX - Intercontinental (IAH)
Hughes, AK (HUS)
Huntington, WV/Ashland, KY (HTS)
Huntsville, AL (HSV)
Huron, SD (HON)
Huslia, AK (HSL)
Hyannis, MA (HYA)
Hydaburg, AK (HYG)
Idaho Falls, ID (IDA)
Igiugig, AK (IGG)
Iliamna, AK (ILI)
Imperial, CA (IPL)
Indianapolis, IN (IND)
International Falls, MN (INL)
Inyokern, CA (IYK)
Iron Mountain, MI (IMT)
Ironwood, MI (IWD)
Islip, NY (ISP)
Ithaca, NY (ITH)
Jackson Hole, WY (JAC)
Jackson, MS (JAN)
Jackson, TN (MKL)
